card_id,name_ko,name_en,pool,scope,rarity,cost,type,status,modeled_clauses,total_clauses,unsupported_keywords,score_low,score_baseline,score_high,benchmark_v2,benchmark_v3,residual_low,residual_baseline,residual_high,rules,unmodeled_clauses,description_en
APOTHEOSIS,신성,Apotheosis,event,event,Ancient,E2,Skill,partial,0,1,,-0.5,-0.5,-0.5,,,,,,,Upgrade ALL your cards.,Upgrade ALL your cards.
APPARITION,영체화,Apparition,event,event,Ancient,E1,Skill,full_fixed,1,1,,10.0,10.0,10.0,,,,,,atomic_intangible,,Gain 1 Intangible.
ARMAMENTS,전투장비,Armaments,ironclad,character,Common,E1,Skill,full_fixed,2,2,,5.0,5.0,5.0,5.3,5.3,-0.3,-0.3,-0.3,atomic_fixed|atomic_upgrade,,Gain 5 Block. Upgrade a card in your Hand.
ARSENAL,무기고,Arsenal,regent,character,Rare,E1,Power,full_scenario,1,1,,3.25,11.375,58.5,6.5,6.5,-3.25,4.875,52.0,atomic_fixed|event_triggers,,"Whenever you create a card, gain 1 Strength."
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,curse,curse,Curse,E-1,Curse,partial,0,0,UNPLAYABLE,-1.0,-1.0,-1.0,,,,,,,,
ASHEN_STRIKE,잿빛 타격,Ashen Strike,ironclad,character,Uncommon,E1,Attack,partial,1,2,,3.0,3.0,3.0,6.5,6.5,,,,atomic_fixed,Deals 3 additional damage for each card in your Exhaust Pile.,Deal 6 damage. Deals 3 additional damage for each card in your Exhaust Pile.
ASSASSINATE,암살,Assassinate,silent,character,Rare,E0,Attack,full_fixed,2,2,,6.5,6.5,6.5,6.5,6.5,0.0,0.0,0.0,simple_fixed_v3,,Deal 10 damage. Apply 1 Vulnerable.
ASTRAL_PULSE,별의 파동,Astral Pulse,regent,character,Common,E0+S3,Attack,full_scenario,1,1,,7.8,8.05,8.55,,,,,,multi_hit_strength_synergy|simple_fixed_v3,,Deal 6 damage to ALL enemies twice.
AUTOMATION,자동화,Automation,colorless,colorless,Uncommon,E1,Power,full_scenario,1,1,,0.0,4.5,10.0,6.8,6.8,-6.8,-2.3,3.2,atomic_fixed|threshold_triggers,,"Every 10 cards you draw, gain 1 Energy."
BACKFLIP,공중제비,Backflip,silent,character,Common,E1,Skill,full_fixed,2,2,,6.4,6.4,6.4,5.3,5.3,1.1,1.1,1.1,simple_fixed_v3,,Gain 5 Block. Draw 2 cards.
BACKSTAB,배신,Backstab,silent,character,Uncommon,E0,Attack,full_fixed,1,1,,5.0,5.0,5.0,5.0,4.3,0.7,0.7,0.7,simple_fixed_v3,,Deal 11 damage.
BAD_LUCK,불운,Bad Luck,curse,curse,Curse,E-1,Curse,partial,1,1,UNPLAYABLE,-42.9,-18.518,0.0,,,,,,atomic_fixed|condition_probability|recurring_turns,,"At the end of your turn, if this is in your Hand, lose 13 HP."
BALL_LIGHTNING,번개 구체,Ball Lightning,defect,character,Common,E1,Attack,full_fixed,2,2,,5.7,5.7,5.7,5.3,5.3,0.4,0.4,0.4,simple_fixed_v3,,Deal 7 damage. Channel 1 Lightning.
BANSHEES_CRY,밴시의 외침,Banshee's Cry,necrobinder,character,Rare,E9,Attack,partial,1,2,,21.45,21.45,21.45,,,,,,atomic_fixed,Costs 2 Energy less for each Ethereal card played this combat.,Deal 33 damage to ALL enemies. Costs 2 Energy less for each Ethereal card played this combat.
BARRAGE,일제 사격,Barrage,defect,character,Common,E1,Attack,full_scenario,1,1,,2.5,5.5,25.0,5.3,5.3,-2.8,0.2,19.7,atomic_fixed|scaling_count,,Deal 5 damage for each Channeled Orb.
BARRICADE,바리케이드,Barricade,ironclad,character,Rare,E3,Power,partial,0,1,,0.0,0.0,0.0,20.0,20.0,,,,,Block is not removed at the start of your turn.,Block is not removed at the start of your turn.
BASH,강타,Bash,ironclad,character,Basic,E2,Attack,full_fixed,2,2,,8.0,8.0,8.0,6.0,6.0,2.0,2.0,2.0,simple_fixed_v3,,Deal 8 damage. Apply 2 Vulnerable.
BATTLE_TRANCE,전투 최면,Battle Trance,ironclad,character,Uncommon,E0,Skill,full_scenario,2,2,,0.0,2.15,5.55,5.0,4.3,-4.3,-2.15,1.25,atomic_fixed|atomic_no_more_draw,,Draw 3 cards. You cannot draw additional cards this turn.
BEACON_OF_HOPE,희망의 등불,Beacon of Hope,colorless,colorless,Rare,E1,Power,partial,0,1,,0.0,0.0,0.0,9.0,9.0,,,,,"Whenever you gain Block on your turn, other players gain half that much Block.","Whenever you gain Block on your turn, other players gain half that much Block."
BEAM_CELL,레이저 포인터,Beam Cell,defect,character,Common,E0,Attack,full_fixed,2,2,,3.5,3.5,3.5,2.7,2.7,0.8,0.8,0.8,simple_fixed_v3,,Deal 3 damage. Apply 1 Vulnerable.
BEAT_DOWN,두들겨 패기,Beat Down,colorless,colorless,Rare,E3,Skill,partial,0,1,,0.0,0.0,0.0,14.5,14.5,,,,,Play 3 random Attacks from your Discard Pile.,Play 3 random Attacks from your Discard Pile.
BEAT_INTO_SHAPE,재성형,Beat into Shape,regent,character,Rare,E1,Attack,partial,2,3,,2.83,3.16,3.82,6.5,6.5,,,,atomic_fixed|x_value,Forges an additional 5 for every other time you've hit the enemy this turn.,Deal 5 damage. Forge X. Forges an additional 5 for every other time you've hit the enemy this turn.
BECKON,유인,Beckon,status,status,Status,E1,Status,full_scenario,1,1,,-19.8,-8.547,0.0,,,,,,atomic_fixed|condition_probability|recurring_turns,,"At the end of your turn, if this is in your Hand, lose 6 HP."
BEGONE,물렀거라!,BEGONE!,regent,character,Common,E1,Skill,partial,0,1,,0.0,0.0,0.0,5.3,5.3,,,,,Choose a card in your Hand to Transform into Minion Strike.,Choose a card in your Hand to Transform into Minion Strike.
BELIEVE_IN_YOU,너만 믿는다,Believe in You,colorless,colorless,Uncommon,E0,Skill,partial,0,1,,0.0,0.0,0.0,4.25,4.25,,,,,Another player gains 2 Energy.,Another player gains 2 Energy.
BIASED_COGNITION,인지 편향,Biased Cognition,defect,character,Ancient,E1,Power,full_scenario,2,2,,-13.0,1.95,26.0,,,,,,atomic_fixed|atomic_lose_focus_conditional_stock|recurring_turns,,"Gain 4 Focus. At the start of your turn, lose 1 Focus."
BIG_BANG,빅뱅,Big Bang,regent,character,Rare,E0,Skill,full_fixed,4,4,,5.9,5.9,5.9,6.5,6.5,-0.6,-0.6,-0.6,simple_fixed_v3,,Draw 1 card. Gain 1 Energy. Gain 1 Stars. Forge 5.
BLACK_HOLE,블랙홀,Black Hole,regent,character,Uncommon,E1,Power,full_scenario,1,1,,1.95,6.825,35.1,6.5,6.5,-4.55,0.325,28.6,atomic_fixed|event_triggers,,"Whenever you spend or gain 1 Stars, deal 3 damage to ALL enemies."
BLADE_DANCE,검무,Blade Dance,silent,character,Common,E1,Skill,full_fixed,1,1,,4.7,4.7,4.7,5.3,5.3,-0.6,-0.6,-0.6,simple_fixed_v3,,Add 3 Shivs into your Hand.
BLADE_OF_INK,잉크 칼날,Blade of Ink,silent,character,Rare,E1,Skill,full_fixed,1,1,,5.0,5.0,5.0,6.5,6.5,-1.5,-1.5,-1.5,atomic_inky_shiv,,Add 2 Inky Shivs into your Hand.
BLIGHT_STRIKE,역병 타격,Blight Strike,necrobinder,character,Common,E1,Attack,full_fixed,2,2,,6.16,6.16,6.16,5.3,5.3,0.86,0.86,0.86,atomic_fixed|doom_equal_damage,,Deal 8 damage. Apply Doom equal to damage dealt.
BLOODLETTING,사혈,Bloodletting,ironclad,character,Common,E0,Skill,full_fixed,2,2,,3.35,3.35,3.35,2.7,2.7,0.65,0.65,0.65,simple_fixed_v3,,Lose 3 HP. Gain 2 Energy.
BLOOD_WALL,피의 벽,Blood Wall,ironclad,character,Common,E2,Skill,full_fixed,2,2,,8.5,8.5,8.5,9.0,9.0,-0.5,-0.5,-0.5,simple_fixed_v3,,Lose 2 HP. Gain 16 Block.
BLUDGEON,몽둥이질,Bludgeon,ironclad,character,Uncommon,E3,Attack,full_fixed,1,1,,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,simple_fixed_v3,,Deal 32 damage.
BLUR,흐릿함,Blur,silent,character,Uncommon,E1,Skill,partial,1,2,,3.0,3.0,3.0,6.5,6.5,,,,atomic_fixed,Block is not removed at the start of your next turn.,Gain 5 Block. Block is not removed at the start of your next turn.
BODYGUARD,호위,Bodyguard,necrobinder,character,Basic,E1,Skill,full_fixed,1,1,,5.5,5.5,5.5,3.0,3.0,2.5,2.5,2.5,simple_fixed_v3,,Summon 5.
BODY_SLAM,몸통 박치기,Body Slam,ironclad,character,Common,E1,Attack,full_scenario,1,1,,2.5,7.5,15.0,5.3,5.3,-2.8,2.2,9.7,equal_to_quantity,,Deal damage equal to your Block.
BOLAS,사냥돌,Bolas,colorless,colorless,Rare,E0,Attack,full_fixed,2,2,,3.9,3.9,3.9,5.0,5.0,-1.1,-1.1,-1.1,atomic_delayed_self_return|atomic_fixed,,"Deal 3 damage. At the start of your next turn, return this to your Hand."
BOMBARDMENT,포격,Bombardment,regent,character,Rare,E3,Attack,partial,1,2,,8.0,8.0,8.0,20.0,20.0,,,,atomic_fixed,"At the start of your turn, if this is in your Exhaust Pile, play it.","Deal 18 damage. At the start of your turn, if this is in your Exhaust Pile, play it."
BONE_SHARDS,뼛조각,Bone Shards,necrobinder,character,Uncommon,E1,Attack,partial,0,2,,0.0,0.0,0.0,6.5,6.5,,,,,"If Osty is alive, he deals 9 damage to ALL enemies and you gain 9 Block. || Osty dies.","If Osty is alive, he deals 9 damage to ALL enemies and you gain 9 Block. Osty dies."
BOOST_AWAY,가속 이탈,Boost Away,defect,character,Common,E0,Skill,full_fixed,2,2,,2.7,2.7,2.7,2.7,2.7,-0.0,-0.0,-0.0,simple_fixed_v3,,Gain 6 Block. Add a Dazed into your Discard Pile.
BOOT_SEQUENCE,부팅 과정,Boot Sequence,defect,character,Uncommon,E0,Skill,full_fixed,1,1,,5.5,5.5,5.5,5.0,4.3,1.2,1.2,1.2,simple_fixed_v3,,Gain 10 Block.
BORROWED_TIME,연명,Borrowed Time,necrobinder,character,Uncommon,E1,Skill,partial,1,2,,10.0,10.0,10.0,6.5,6.5,,,,atomic_fixed,Cards cost an additional 1 Energy this turn.,Gain 4 Energy. Cards cost an additional 1 Energy this turn.
BOUNCING_FLASK,탄성 플라스크,Bouncing Flask,silent,character,Uncommon,E2,Skill,full_fixed,1,1,,8.1,8.1,8.1,11.0,11.0,-2.9,-2.9,-2.9,atomic_random_target_poison,,Apply 3 Poison to a random enemy 3 times.
BRAND,낙인,Brand,ironclad,character,Rare,E0,Skill,full_fixed,3,3,,3.7,3.7,3.7,6.5,6.5,-2.8,-2.8,-2.8,atomic_fixed|atomic_selected_exhaust,,Lose 1 HP. Exhaust 1 card. Gain 1 Strength.
BREAK,박살,Break,ironclad,character,Ancient,E1,Attack,full_fixed,2,2,,20.0,20.0,20.0,,,,,,simple_fixed_v3,,Deal 20 damage. Apply 5 Vulnerable.
BREAKTHROUGH,정면 돌파,Breakthrough,ironclad,character,Common,E1,Attack,full_fixed,2,2,,5.3,5.3,5.3,5.3,5.3,0.0,0.0,0.0,simple_fixed_v3,,Lose 1 HP. Deal 9 damage to ALL enemies.
BRIGHTEST_FLAME,찬란한 불꽃,Brightest Flame,event,event,Ancient,E0,Skill,partial,2,3,,8.4,8.4,8.4,,,,,,atomic_fixed,Lose 1 Max HP.,Gain 2 Energy. Draw 2 cards. Lose 1 Max HP.
BUBBLE_BUBBLE,차오르는 독,Bubble Bubble,silent,character,Uncommon,E1,Skill,full_scenario,1,1,,0.0,6.3,9.0,6.5,6.5,-6.5,-0.2,2.5,atomic_fixed|condition_probability,,"If the enemy has Poison, apply 9 Poison."
BUFFER,버퍼,Buffer,defect,character,Rare,E2,Power,partial,0,1,,0.0,0.0,0.0,17.0,17.0,,,,,Prevent the next time you would lose HP.,Prevent the next time you would lose HP.
BULK_UP,증강,Bulk Up,defect,character,Uncommon,E2,Power,full_fixed,3,3,,10.5,10.5,10.5,11.0,11.0,-0.5,-0.5,-0.5,atomic_fixed|atomic_orb_slot_loss,,Lose 1 Orb Slot. Gain 2 Strength. Gain 2 Dexterity.
BULLET_TIME,불릿 타임,Bullet Time,silent,character,Rare,E3,Skill,full_scenario,2,2,,-3.05,9.1,25.0,20.0,20.0,-23.05,-10.9,5.0,atomic_free_hand|atomic_no_more_draw,,You cannot draw additional cards this turn. ALL cards in your Hand are free to play this turn.
BULLY,협박,Bully,ironclad,character,Uncommon,E0,Attack,partial,1,2,,2.0,2.0,2.0,5.0,4.3,,,,atomic_fixed,Deals 2 additional damage for each Vulnerable on the enemy.,Deal 4 damage. Deals 2 additional damage for each Vulnerable on the enemy.
BULWARK,보루,Bulwark,regent,character,Uncommon,E2,Skill,full_fixed,2,2,,10.5,10.5,10.5,11.0,11.0,-0.5,-0.5,-0.5,simple_fixed_v3,,Gain 12 Block. Forge 10.
BUNDLE_OF_JOY,기쁨의 선물,Bundle of Joy,regent,character,Rare,E1,Skill,full_fixed,1,1,,11.0,11.0,11.0,6.5,6.5,4.5,4.5,4.5,atomic_random_colorless_card,,Add 3 random Colorless cards into your Hand.
BURN,화상,Burn,status,status,Status,E-1,Status,partial,1,1,UNPLAYABLE,-6.6,-2.849,0.0,,,,,,atomic_self_damage|condition_probability|recurring_turns,,"At the end of your turn, if this is in your Hand, take 2 damage."
BURNING_PACT,불타는 조약,Burning Pact,ironclad,character,Uncommon,E1,Skill,full_fixed,2,2,,4.4,4.4,4.4,6.5,6.5,-2.1,-2.1,-2.1,atomic_fixed|atomic_selected_exhaust,,Exhaust 1 card. Draw 2 cards.
BURST,폭주,Burst,silent,character,Rare,E1,Skill,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,"This turn, your next Skill is played an extra time.","This turn, your next Skill is played an extra time."
BURY,매장,Bury,necrobinder,character,Uncommon,E4,Attack,full_fixed,1,1,,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0,simple_fixed_v3,,Deal 52 damage.
BYRDONIS_EGG,섀도니스 알,Byrdonis Egg,quest,quest,Quest,E-1,Quest,partial,0,1,UNPLAYABLE,0.0,0.0,0.0,,,,,,,Can be hatched at a Rest Site.,Can be hatched at a Rest Site.
BYRD_SWOOP,섀 급습,Byrd Swoop,event,event,Event,E0,Attack,full_fixed,1,1,,7.0,7.0,7.0,,,,,,simple_fixed_v3,,Deal 14 damage.
CALAMITY,재앙,Calamity,colorless,colorless,Rare,E3,Power,full_scenario,1,1,,3.0,10.5,54.0,14.5,14.5,-11.5,-4.0,39.5,atomic_random_attack_card|event_triggers,,"Whenever you play an Attack, add a random Attack into your Hand."
CALCIFY,석회화,Calcify,necrobinder,character,Uncommon,E1,Power,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,Osty's attacks deal 4 additional damage.,Osty's attacks deal 4 additional damage.
CALCULATED_GAMBLE,계산된 도박,Calculated Gamble,silent,character,Uncommon,E0,Skill,partial,0,1,,-1.0,-1.0,-1.0,5.0,4.3,,,,,"Discard your Hand, then draw that many cards.","Discard your Hand, then draw that many cards."
CALL_OF_THE_VOID,공허의 부름,Call of the Void,necrobinder,character,Rare,E1,Power,partial,1,2,,4.5,11.1,18.0,6.5,6.5,,,,atomic_random_card_card|recurring_turns,It gains Ethereal.,"At the start of your turn, add 1 random card into your Hand. It gains Ethereal."
CALTROPS,마름쇠,Caltrops,event,event,Event,E1,Power,partial,0,1,,0.0,0.0,0.0,,,,,,,"Whenever you are attacked, deal 3 damage back.","Whenever you are attacked, deal 3 damage back."
CAPACITOR,축전기,Capacitor,defect,character,Uncommon,E1,Power,full_fixed,1,1,,5.0,5.0,5.0,6.5,6.5,-1.5,-1.5,-1.5,atomic_orb_slot,,Gain 2 Orb Slots.
CAPTURE_SPIRIT,혼령 포획,Capture Spirit,necrobinder,character,Uncommon,E1,Skill,full_fixed,2,2,,4.65,4.65,4.65,6.5,6.5,-1.85,-1.85,-1.85,atomic_fixed|atomic_hp_bypass,,Enemy loses 3 HP. Add 3 Souls into your Draw Pile.
CASCADE,연쇄,Cascade,ironclad,character,Rare,EX,Skill,partial,0,1,,0.0,0.0,0.0,,,,,,,Play the top X cards of your Draw Pile.,Play the top X cards of your Draw Pile.
CATASTROPHE,재난,Catastrophe,colorless,colorless,Uncommon,E2,Skill,partial,0,1,,0.0,0.0,0.0,12.0,12.0,,,,,Play 2 random cards from your Draw Pile.,Play 2 random cards from your Draw Pile.
CELESTIAL_MIGHT,천상의 권능,Celestial Might,regent,character,Common,E2,Attack,full_scenario,1,1,,9.0,9.5,10.5,9.0,9.0,0.0,0.5,1.5,multi_hit_strength_synergy|simple_fixed_v3,,Deal 6 damage 3 times.
CHAOS,혼돈,Chaos,defect,character,Uncommon,E1,Skill,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,Channel 1 random Orb.,Channel 1 random Orb.
CHARGE,돌격!!,CHARGE!!,regent,character,Uncommon,E1,Skill,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,Choose 2 cards in your Draw Pile to Transform into Minion Dive Bombs.,Choose 2 cards in your Draw Pile to Transform into Minion Dive Bombs.
CHARGE_BATTERY,배터리 충전,Charge Battery,defect,character,Common,E1,Skill,full_fixed,2,2,,6.2,6.2,6.2,5.3,5.3,0.9,0.9,0.9,atomic_fixed|delay_next_turn,,"Gain 7 Block. Next turn, gain 1 Energy."
CHILD_OF_THE_STARS,별의 아이,Child of the Stars,regent,character,Uncommon,E1,Power,full_scenario,1,1,,1.2,9.24,216.0,6.5,6.5,-5.3,2.74,209.5,atomic_fixed|event_triggers|scaling_count,,"Whenever you spend 1 Stars, gain 2 Block for each 1 Stars spent."
CHILL,오한,Chill,defect,character,Uncommon,E0,Skill,full_scenario,1,1,,2.2,6.04,31.0,5.0,4.3,-2.1,1.74,26.7,atomic_fixed|scaling_count,,Channel 1 Frost for each enemy.
CINDER,잿불,Cinder,ironclad,character,Common,E2,Attack,full_fixed,2,2,,9.5,9.5,9.5,9.0,9.0,0.5,0.5,0.5,atomic_fixed|atomic_random_exhaust,,Deal 18 damage. Exhaust 1 card at random.
CLASH,격돌,Clash,event,event,Event,E0,Attack,partial,1,2,,7.0,7.0,7.0,,,,,,atomic_fixed,Can only be played if every card in your Hand is an Attack.,Can only be played if every card in your Hand is an Attack. Deal 14 damage.
CLAW,후벼 파기,Claw,defect,character,Common,E0,Attack,partial,1,2,,1.5,1.5,1.5,2.7,2.7,,,,atomic_fixed,Increase the damage of ALL Claw cards by 2 this combat.,Deal 3 damage. Increase the damage of ALL Claw cards by 2 this combat.
CLEANSE,정화,Cleanse,necrobinder,character,Uncommon,E1,Skill,full_fixed,2,2,,4.3,4.3,4.3,6.5,6.5,-2.2,-2.2,-2.2,atomic_fixed|atomic_selected_exhaust,,Summon 3. Exhaust 1 card from your Draw Pile.
CLOAK_AND_DAGGER,망토와 단검,Cloak and Dagger,silent,character,Common,E1,Skill,full_fixed,2,2,,5.5,5.5,5.5,5.3,5.3,0.2,0.2,0.2,simple_fixed_v3,,Gain 6 Block. Add 1 Shiv into your Hand.
CLOAK_OF_STARS,별의 망토,Cloak of Stars,regent,character,Common,E0+S1,Skill,full_fixed,1,1,,4.2,4.2,4.2,,,,,,simple_fixed_v3,,Gain 7 Block.
CLUMSY,서투름,Clumsy,curse,curse,Curse,E-1,Curse,partial,0,0,UNPLAYABLE,-1.0,-1.0,-1.0,,,,,,,,
COLD_SNAP,꽃샘추위,Cold Snap,defect,character,Common,E1,Attack,full_fixed,2,2,,6.2,6.2,6.2,5.3,5.3,0.9,0.9,0.9,simple_fixed_v3,,Deal 6 damage. Channel 1 Frost.
COLLISION_COURSE,불가피한 충돌,Collision Course,regent,character,Common,E0,Attack,full_fixed,2,2,,2.7,2.7,2.7,2.7,2.7,0.0,0.0,0.0,simple_fixed_v3,,Deal 11 damage. Add a Debris into your Hand.
COLOSSUS,거상,Colossus,ironclad,character,Uncommon,E1,Skill,partial,1,2,,3.0,3.0,3.0,6.5,6.5,,,,atomic_fixed,You receive 50% less damage from Vulnerable enemies this turn.,Gain 5 Block. You receive 50% less damage from Vulnerable enemies this turn.
COMET,혜성,Comet,regent,character,Rare,E0+S5,Attack,full_fixed,3,3,,28.8,28.8,28.8,,,,,,simple_fixed_v3,,Deal 33 damage. Apply 3 Weak. Apply 3 Vulnerable.
COMPACT,압축,Compact,defect,character,Uncommon,E1,Skill,partial,1,2,,3.6,3.6,3.6,6.5,6.5,,,,atomic_fixed,Transform all Status cards in your Hand into Fuel.,Gain 6 Block. Transform all Status cards in your Hand into Fuel.
COMPILE_DRIVER,컴파일 드라이버,Compile Driver,defect,character,Common,E1,Attack,full_scenario,2,2,,4.75,6.25,16.0,5.3,5.3,-0.55,0.95,10.7,atomic_fixed|scaling_count,,Deal 7 damage. Draw 1 card for each unique Orb you have.
CONFLAGRATION,대화재,Conflagration,ironclad,character,Rare,E1,Attack,full_scenario,1,1,,5.2,5.95,7.45,6.5,6.5,-1.3,-0.55,0.95,multi_hit_strength_synergy|simple_fixed_v3,,Deal 2 damage to ALL enemies 4 times.
CONQUEROR,정복자,Conqueror,regent,character,Uncommon,E1,Skill,partial,1,2,,0.99,0.99,0.99,6.5,6.5,,,,atomic_fixed,Sovereign Blade deals double damage to the enemy this turn.,Forge 3. Sovereign Blade deals double damage to the enemy this turn.
CONSUMING_SHADOW,그림자 소모,Consuming Shadow,defect,character,Rare,E2,Power,full_scenario,2,2,,9.925,14.35,32.8,17.0,17.0,-7.075,-2.65,15.8,atomic_evoke_orb|atomic_fixed|recurring_turns,,"Channel 2 Dark. At the end of your turn, Evoke your leftmost Orb."
CONVERGENCE,수렴,Convergence,regent,character,Uncommon,E1,Skill,partial,1,2,,2.0,2.0,2.0,6.5,6.5,,,,atomic_retain_hand,"Next turn, gain 1 Energy and 1 Stars.","Next turn, gain 1 Energy and 1 Stars. Retain your Hand this turn."
COOLANT,냉각재,Coolant,defect,character,Rare,E1,Power,full_scenario,1,1,,1.8,9.768,72.0,6.5,6.5,-4.7,3.268,65.5,atomic_fixed|recurring_turns|scaling_count,,"At the start of your turn, gain 2 Block for each unique Orb you have."
COOLHEADED,냉정함,Coolheaded,defect,character,Common,E1,Skill,full_fixed,2,2,,4.45,4.45,4.45,5.3,5.3,-0.85,-0.85,-0.85,simple_fixed_v3,,Channel 1 Frost. Draw 1 card.
COORDINATE,협력,Coordinate,colorless,colorless,Uncommon,E1,Skill,partial,0,1,,0.0,0.0,0.0,6.8,6.8,,,,,Give another player 5 Strength this turn.,Give another player 5 Strength this turn.
CORROSIVE_WAVE,부식성 파도,Corrosive Wave,silent,character,Rare,E1,Skill,full_scenario,1,1,,2.6,9.1,46.8,6.5,6.5,-3.9,2.6,40.3,atomic_fixed|event_triggers,,"Whenever you draw a card this turn, apply 2 Poison to ALL enemies."
CORRUPTION,타락,Corruption,ironclad,character,Ancient,E3,Power,partial,0,2,,0.0,0.0,0.0,,,,,,,"Skills cost 0 Energy. || Whenever you play a Skill, Exhaust it.","Skills cost 0 Energy. Whenever you play a Skill, Exhaust it."
COSMIC_INDIFFERENCE,우주적 무관심,Cosmic Indifference,regent,character,Common,E1,Skill,full_fixed,2,2,,5.1,5.1,5.1,5.3,5.3,-0.2,-0.2,-0.2,atomic_fixed|atomic_retrieve_topdeck,,Gain 6 Block. Put a card from your Discard Pile on top of your Draw Pile.
COUNTDOWN,카운트다운,Countdown,necrobinder,character,Uncommon,E1,Power,full_scenario,1,1,,2.187,5.395,8.748,6.5,6.5,-4.313,-1.105,2.248,atomic_random_target_doom|recurring_turns,,"At the start of your turn, apply 6 Doom to a random enemy."
CRASH_LANDING,불시착,Crash Landing,regent,character,Rare,E1,Attack,partial,1,2,,13.65,13.65,13.65,6.5,6.5,,,,atomic_fixed,Fill your Hand with Debris.,Deal 21 damage to ALL enemies. Fill your Hand with Debris.
CREATIVE_AI,창의적인 인공지능,Creative AI,defect,character,Rare,E3,Power,full_scenario,1,1,,7.5,18.5,30.0,20.0,20.0,-12.5,-1.5,10.0,atomic_random_power_card|recurring_turns,,"At the start of your turn, add a random Power into your Hand."
