family,family_ko,template_en,occurrences,card_count,pools,example_card_ids
card_create,카드 생성,Add Retain to a card in your Hand.,1,1,necrobinder:1,SNAP
card_create,카드 생성,Add Sly to a Skill in your Hand this turn.,1,1,silent:1,HAND_TRICK
card_create,카드 생성,Add X Souls into your Draw Pile.,1,1,necrobinder:1,DIRGE
card_create,카드 생성,Add a Burn into your Discard Pile.,1,1,defect:1,OVERCLOCK
card_create,카드 생성,Add a Dazed into your Discard Pile.,1,1,defect:1,BOOST_AWAY
card_create,카드 생성,Add a Debris into your Hand.,1,1,regent:1,COLLISION_COURSE
card_create,카드 생성,Add a Slimed into your Discard Pile.,1,1,defect:1,GUNK_UP
card_create,카드 생성,"Add a Soul into your Draw Pile, Hand, and Discard Pile.",1,1,necrobinder:1,SEVERANCE
card_create,카드 생성,Add a Soul into your Draw Pile.,2,2,necrobinder:2,GRAVE_WARDEN|REAVE
card_create,카드 생성,Add a Void into your Discard Pile.,1,1,defect:1,TURBO
card_create,카드 생성,Add a copy of that card into your Hand.,2,2,event:1|regent:1,DUAL_WIELD|HEIRLOOM_HAMMER
card_create,카드 생성,Add a copy of the third Attack you play each turn into your Hand.,1,1,ironclad:1,JUGGLING
card_create,카드 생성,Add a copy of this card into your Discard Pile.,2,2,ironclad:1|necrobinder:1,ANGER|UNDEATH
card_create,카드 생성,Add a random Attack into your Hand.,1,1,ironclad:1,INFERNAL_BLADE
card_create,카드 생성,Add a random Power into your Hand.,1,1,defect:1,WHITE_NOISE
card_create,카드 생성,Add a random Skill into your Hand.,1,1,event:1,DISTRACTION
card_create,카드 생성,Add a {n} Energy copy of this card into your Discard Pile.,1,1,defect:1,ADAPTIVE_STRIKE
card_create,카드 생성,Add {n} Inky Shivs into your Hand.,1,1,silent:1,BLADE_OF_INK
card_create,카드 생성,Add {n} Shiv into your Hand for each card discarded.,1,1,silent:1,STORM_OF_STEEL
card_create,카드 생성,Add {n} Shiv into your Hand.,1,1,silent:1,CLOAK_AND_DAGGER
card_create,카드 생성,Add {n} Shivs into your Hand.,5,5,silent:5,BLADE_DANCE|FAN_OF_KNIVES|HIDDEN_DAGGERS|LEADING_STRIKE|UP_MY_SLEEVE
card_create,카드 생성,Add {n} Souls into your Draw Pile.,1,1,necrobinder:1,CAPTURE_SPIRIT
card_create,카드 생성,Add {n} Wounds into your Discard Pile.,1,1,defect:1,FIGHT_THROUGH
card_create,카드 생성,Add {n} random Attacks into your Draw Pile.,1,1,event:1,METAMORPHOSIS
card_create,카드 생성,Add {n} random Colorless card into your Hand.,2,2,colorless:1|regent:1,JACK_OF_ALL_TRADES|MANIFEST_AUTHORITY
card_create,카드 생성,Add {n} random Colorless cards into your Hand.,1,1,regent:1,BUNDLE_OF_JOY
card_create,카드 생성,Add {n} random card into your Hand for each card Exhausted.,1,1,ironclad:1,STOKE
card_create,카드 생성,Add {n} random {n} Energy cards into your Hand.,1,1,colorless:1,JACKPOT
card_create,카드 생성,"At the start of your turn, add a random Common card into your Hand.",1,1,event:1,HELLO_WORLD
card_create,카드 생성,"At the start of your turn, add a random Power into your Hand.",1,1,defect:1,CREATIVE_AI
card_create,카드 생성,"At the start of your turn, add {n} Shiv into your Hand.",1,1,silent:1,INFINITE_BLADES
card_create,카드 생성,"At the start of your turn, add {n} Sweeping Gaze into your Hand.",1,1,necrobinder:1,SENTRY_MODE
card_create,카드 생성,"At the start of your turn, add {n} random Colorless card into your Hand.",1,1,regent:1,SPECTRUM_SHIFT
card_create,카드 생성,"At the start of your turn, add {n} random card into your Hand.",1,1,necrobinder:1,CALL_OF_THE_VOID
card_create,카드 생성,Choose {n} of {n} cards in your Draw Pile to add into your Hand.,1,1,colorless:1,SEEKER_STRIKE
card_create,카드 생성,Choose {n} of {n} random Attacks from another character to add into your Hand.,1,1,colorless:1,SPLASH
card_create,카드 생성,Choose {n} of {n} random Colorless cards to add into your Hand.,1,1,regent:1,QUASAR
card_create,카드 생성,Choose {n} of {n} random cards to add into your Hand.,1,1,colorless:1,DISCOVERY
card_create,카드 생성,Exhaust a random Attack in your Hand and add its damage to this card.,1,1,ironclad:1,THRASH
card_create,카드 생성,Fill your Hand with Debris.,1,1,regent:1,CRASH_LANDING
card_create,카드 생성,"Next turn, add {n} copies of that card into your Hand.",1,1,silent:1,NIGHTMARE
card_create,카드 생성,"Whenever you create a Status, reduce this card's cost to {n} Energy until played.",1,1,defect:1,ROCKET_PUNCH
card_create,카드 생성,"Whenever you create a card, gain {n} Block.",1,1,regent:1,PILLAR_OF_CREATION
card_create,카드 생성,"Whenever you create a card, gain {n} Strength.",1,1,regent:1,ARSENAL
card_create,카드 생성,"Whenever you play an Attack, add a random Attack into your Hand.",1,1,colorless:1,CALAMITY
card_move,카드 이동/탐색,Add a Debris into your Hand.,1,1,regent:1,COLLISION_COURSE
card_move,카드 이동/탐색,Add a copy of that card into your Hand.,2,2,event:1|regent:1,DUAL_WIELD|HEIRLOOM_HAMMER
card_move,카드 이동/탐색,Add a copy of the third Attack you play each turn into your Hand.,1,1,ironclad:1,JUGGLING
card_move,카드 이동/탐색,Add a random Attack into your Hand.,1,1,ironclad:1,INFERNAL_BLADE
card_move,카드 이동/탐색,Add a random Power into your Hand.,1,1,defect:1,WHITE_NOISE
card_move,카드 이동/탐색,Add a random Skill into your Hand.,1,1,event:1,DISTRACTION
card_move,카드 이동/탐색,Add {n} Inky Shivs into your Hand.,1,1,silent:1,BLADE_OF_INK
card_move,카드 이동/탐색,Add {n} Shiv into your Hand for each card discarded.,1,1,silent:1,STORM_OF_STEEL
card_move,카드 이동/탐색,Add {n} Shiv into your Hand.,1,1,silent:1,CLOAK_AND_DAGGER
card_move,카드 이동/탐색,Add {n} Shivs into your Hand.,5,5,silent:5,BLADE_DANCE|FAN_OF_KNIVES|HIDDEN_DAGGERS|LEADING_STRIKE|UP_MY_SLEEVE
card_move,카드 이동/탐색,Add {n} random Colorless card into your Hand.,2,2,colorless:1|regent:1,JACK_OF_ALL_TRADES|MANIFEST_AUTHORITY
card_move,카드 이동/탐색,Add {n} random Colorless cards into your Hand.,1,1,regent:1,BUNDLE_OF_JOY
card_move,카드 이동/탐색,Add {n} random card into your Hand for each card Exhausted.,1,1,ironclad:1,STOKE
card_move,카드 이동/탐색,Add {n} random {n} Energy cards into your Hand.,1,1,colorless:1,JACKPOT
card_move,카드 이동/탐색,"At the end of your turn, if this is on top of your Draw Pile, play it.",1,1,regent:1,I_AM_INVINCIBLE
card_move,카드 이동/탐색,"At the start of your next turn, return this to your Hand.",2,2,colorless:2,BOLAS|THRUMMING_HATCHET
card_move,카드 이동/탐색,"At the start of your turn, add a random Common card into your Hand.",1,1,event:1,HELLO_WORLD
card_move,카드 이동/탐색,"At the start of your turn, add a random Power into your Hand.",1,1,defect:1,CREATIVE_AI
card_move,카드 이동/탐색,"At the start of your turn, add {n} Shiv into your Hand.",1,1,silent:1,INFINITE_BLADES
card_move,카드 이동/탐색,"At the start of your turn, add {n} Sweeping Gaze into your Hand.",1,1,necrobinder:1,SENTRY_MODE
card_move,카드 이동/탐색,"At the start of your turn, add {n} random Colorless card into your Hand.",1,1,regent:1,SPECTRUM_SHIFT
card_move,카드 이동/탐색,"At the start of your turn, add {n} random card into your Hand.",1,1,necrobinder:1,CALL_OF_THE_VOID
card_move,카드 이동/탐색,"At the start of your turn, play the top card of your Draw Pile.",1,1,colorless:1,MAYHEM
card_move,카드 이동/탐색,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.",1,1,ironclad:1,AGGRESSION
card_move,카드 이동/탐색,Choose a Colorless card in your Hand.,1,1,regent:1,HEIRLOOM_HAMMER
card_move,카드 이동/탐색,Choose a Skill in your Hand and play it {n} times.,1,1,regent:1,DECISIONS_DECISIONS
card_move,카드 이동/탐색,Choose a card in your Hand to Transform into Minion Strike.,1,1,regent:1,BEGONE
card_move,카드 이동/탐색,Choose a card.,1,1,silent:1,NIGHTMARE
card_move,카드 이동/탐색,Choose an Attack or Power card.,1,1,event:1,DUAL_WIELD
card_move,카드 이동/탐색,Choose {n} cards in your Draw Pile to Transform into Minion Dive Bombs.,1,1,regent:1,CHARGE
card_move,카드 이동/탐색,Choose {n} of {n} cards in your Draw Pile to add into your Hand.,1,1,colorless:1,SEEKER_STRIKE
card_move,카드 이동/탐색,Choose {n} of {n} random Attacks from another character to add into your Hand.,1,1,colorless:1,SPLASH
card_move,카드 이동/탐색,Choose {n} of {n} random Colorless cards to add into your Hand.,1,1,regent:1,QUASAR
card_move,카드 이동/탐색,Choose {n} of {n} random cards to add into your Hand.,1,1,colorless:1,DISCOVERY
card_move,카드 이동/탐색,"Every {n} Skills you play in a turn, put this into your Hand.",1,1,regent:1,MAKE_IT_SO
card_move,카드 이동/탐색,Exhaust {n} card from your Draw Pile.,1,1,necrobinder:1,CLEANSE
card_move,카드 이동/탐색,"Next turn, add {n} copies of that card into your Hand.",1,1,silent:1,NIGHTMARE
card_move,카드 이동/탐색,"Next turn, put {n} cards from your Draw Pile into your Hand.",1,1,regent:1,FOREGONE_CONCLUSION
card_move,카드 이동/탐색,Play a random Attack from your Draw Pile.,1,1,defect:1,UPROAR
card_move,카드 이동/탐색,Play the top card of your Draw Pile and Exhaust it.,1,1,ironclad:1,HAVOC
card_move,카드 이동/탐색,Play {n} random Attacks from your Discard Pile.,1,1,colorless:1,BEAT_DOWN
card_move,카드 이동/탐색,Play {n} random cards from your Draw Pile.,1,1,colorless:1,CATASTROPHE
card_move,카드 이동/탐색,Put ALL {n} Energy cards from your Discard Pile into your Hand.,1,1,defect:1,ALL_FOR_ONE
card_move,카드 이동/탐색,Put Sovereign Blade into your Hand from anywhere.,1,1,regent:1,SUMMON_FORTH
card_move,카드 이동/탐색,Put a Skill from your Draw Pile into your Hand.,1,1,colorless:1,SECRET_TECHNIQUE
card_move,카드 이동/탐색,Put a card from your Discard Pile into your Hand.,2,2,defect:1|necrobinder:1,GRAVEBLAST|HOLOGRAM
card_move,카드 이동/탐색,Put a card from your Discard Pile on top of your Draw Pile.,2,2,ironclad:1|regent:1,COSMIC_INDIFFERENCE|HEADBUTT
card_move,카드 이동/탐색,Put a card from your Draw Pile into your Hand.,1,1,event:1,WISH
card_move,카드 이동/탐색,Put an Attack from your Draw Pile into your Hand.,1,1,colorless:1,SECRET_WEAPON
card_move,카드 이동/탐색,Put every Rare card from your Draw Pile into your Hand.,1,1,colorless:1,ANOINTED
card_move,카드 이동/탐색,Put the next card you play this turn on top of your Draw Pile.,1,1,event:1,REBOUND
card_move,카드 이동/탐색,Put this card on top of your Draw Pile.,1,1,regent:1,SHINING_STRIKE
card_move,카드 이동/탐색,Put up to {n} cards from your Discard Pile into your Hand.,1,1,event:1,NEOWS_FURY
card_move,카드 이동/탐색,Put {n} card from your Hand on top of your Draw Pile.,3,3,colorless:1|regent:2,GLIMMER|PHOTON_CUT|THINKING_AHEAD
card_move,카드 이동/탐색,Put {n} cards from your Discard Pile into your Hand.,1,1,necrobinder:1,DREDGE
card_move,카드 이동/탐색,Return this card to your Hand.,1,1,regent:1,PARTICLE_WALL
card_move,카드 이동/탐색,Shuffle ALL your cards into your Draw Pile.,1,1,defect:1,REBOOT
card_move,카드 이동/탐색,The first Attack or Skill you play each turn is placed on top of your Draw Pile.,1,1,colorless:1,NOSTALGIA
card_move,카드 이동/탐색,"The first time you play a {n} Energy Attack each turn, return it to your Hand.",1,1,defect:1,FERAL
card_move,카드 이동/탐색,"Whenever you play a card that costs {n} Energy or more, return this to your Hand from the Discard Pile.",1,1,necrobinder:1,RIGHT_HAND_HAND
card_move,카드 이동/탐색,"Whenever you play an Attack, add a random Attack into your Hand.",1,1,colorless:1,CALAMITY
card_move,카드 이동/탐색,"Whenever you shuffle your Draw Pile, choose a card from it to put into your Hand.",1,1,colorless:1,STRATAGEM
card_play,추가 사용/재사용,A random card without Replay in your Draw Pile gains Replay {n}.,1,1,colorless:1,HIDDEN_GEM
card_play,추가 사용/재사용,ALL cards in your Hand are free to play this turn.,1,1,silent:1,BULLET_TIME
card_play,추가 사용/재사용,Add Replay to a card in your Hand.,1,1,necrobinder:1,TRANSFIGURE
card_play,추가 사용/재사용,Add a copy of the third Attack you play each turn into your Hand.,1,1,ironclad:1,JUGGLING
card_play,추가 사용/재사용,"At the end of your turn, if this is in your Exhaust Pile, play it.",1,1,ironclad:1,HOWL_FROM_BEYOND
card_play,추가 사용/재사용,"At the end of your turn, if this is on top of your Draw Pile, play it.",1,1,regent:1,I_AM_INVINCIBLE
card_play,추가 사용/재사용,"At the end of your turn, {n} random Attack in your Hand is played against a random enemy.",1,1,ironclad:1,STAMPEDE
card_play,추가 사용/재사용,"At the start of your turn, if this is in your Exhaust Pile, play it.",1,1,regent:1,BOMBARDMENT
card_play,추가 사용/재사용,"At the start of your turn, play the top card of your Draw Pile.",1,1,colorless:1,MAYHEM
card_play,추가 사용/재사용,Can only be played if every card in your Hand is an Attack.,1,1,event:1,CLASH
card_play,추가 사용/재사용,Can only be played if there are no cards in your Draw Pile.,1,1,silent:1,GRAND_FINALE
card_play,추가 사용/재사용,Choose a Skill in your Hand and play it {n} times.,1,1,regent:1,DECISIONS_DECISIONS
card_play,추가 사용/재사용,Costs {n} Energy less for each Ethereal card played this combat.,1,1,necrobinder:1,BANSHEES_CRY
card_play,추가 사용/재사용,Costs {n} less Energy for each Attack played this turn.,1,1,ironclad:1,STOMP
card_play,추가 사용/재사용,Costs {n} less Energy for each Skill played this turn.,1,1,silent:1,PINPOINT
card_play,추가 사용/재사용,Deal damage equal to the number of cards played this combat.,1,1,colorless:1,GOLD_AXE
card_play,추가 사용/재사용,Deal {n} damage for each Attack already played this turn.,1,1,silent:1,FINISHER
card_play,추가 사용/재사용,Deal {n} damage for each Ethereal card played this combat.,1,1,necrobinder:1,PULL_FROM_BELOW
card_play,추가 사용/재사용,Deal {n} damage for each Skill already played this turn.,1,1,regent:1,LUNAR_BLAST
card_play,추가 사용/재사용,"Every time you play {n} cards in a single turn, deal {n} damage to ALL enemies.",1,1,colorless:1,PANACHE
card_play,추가 사용/재사용,"Every {n} Skills you play in a turn, put this into your Hand.",1,1,regent:1,MAKE_IT_SO
card_play,추가 사용/재사용,Hits an additional time for each other time he has attacked this turn.,1,1,necrobinder:1,RATTLE
card_play,추가 사용/재사용,Hits an additional time for each time you lost HP this combat.,1,1,ironclad:1,TEAR_ASUNDER
card_play,추가 사용/재사용,"If the enemy is Vulnerable, hits twice.",1,1,ironclad:1,DISMANTLE
card_play,추가 사용/재사용,"If this is in your Hand, it must be played before other cards.",1,1,curse:1,ENTHRALLED
card_play,추가 사용/재사용,"If this is the first time this card has been played this turn, draw {n} card.",1,1,necrobinder:1,FETCH
card_play,추가 사용/재사용,"If you have played fewer than {n} cards this turn, draw {n} card.",1,1,defect:1,FTL
card_play,추가 사용/재사용,"If you play {n} or more cards in a turn, draw {n} card at the start of your next turn.",1,1,regent:1,PALE_BLUE_DOT
card_play,추가 사용/재사용,It's free to play this turn.,5,5,colorless:2|defect:1|event:1|ironclad:1,DISCOVERY|DISTRACTION|INFERNAL_BLADE|SPLASH|WHITE_NOISE
card_play,추가 사용/재사용,Play a random Attack from your Draw Pile.,1,1,defect:1,UPROAR
card_play,추가 사용/재사용,Play every Shiv in your Exhaust Pile on the enemy.,1,1,silent:1,KNIFE_TRAP
card_play,추가 사용/재사용,Play the top X cards of your Draw Pile.,1,1,ironclad:1,CASCADE
