card_id,name_ko,name_en,pool,rarity,cost,source,clause_index,family,family_ko,polarity,scaling_or_conditional,template_en,clause_en,clause_ko,numeric_values,structured_stats
ADAPTIVE_STRIKE,적응형 타격,Adaptive Strike,defect,Rare,E2,body,2,discard,버리기,positive_or_mixed,False,Add a {n} Energy copy of this card into your Discard Pile.,Add a 0 Energy copy of this card into your Discard Pile.,버린 카드 더미에 이 카드의 비용이 0 Energy인 복사본을 1장 추가합니다.,0,"{""damage"":18,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":18},""upgrade"":{""damage"":""+5""}}"
ADAPTIVE_STRIKE,적응형 타격,Adaptive Strike,defect,Rare,E2,body,2,card_create,카드 생성,positive_or_mixed,False,Add a {n} Energy copy of this card into your Discard Pile.,Add a 0 Energy copy of this card into your Discard Pile.,버린 카드 더미에 이 카드의 비용이 0 Energy인 복사본을 1장 추가합니다.,0,"{""damage"":18,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":18},""upgrade"":{""damage"":""+5""}}"
ADAPTIVE_STRIKE,적응형 타격,Adaptive Strike,defect,Rare,E2,body,2,energy,에너지,positive_or_mixed,False,Add a {n} Energy copy of this card into your Discard Pile.,Add a 0 Energy copy of this card into your Discard Pile.,버린 카드 더미에 이 카드의 비용이 0 Energy인 복사본을 1장 추가합니다.,0,"{""damage"":18,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":18},""upgrade"":{""damage"":""+5""}}"
ADRENALINE,아드레날린,Adrenaline,silent,Rare,E0,body,1,energy,에너지,positive_or_mixed,False,Gain {n} Energy.,Gain 1 Energy.,1 Energy를 얻습니다.,1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":2,""energy_gain"":1,""hp_loss"":null,""vars"":{""Energy"":1,""Cards"":2},""upgrade"":{""energy"":""+1""}}"
ADRENALINE,아드레날린,Adrenaline,silent,Rare,E0,body,2,draw,카드 뽑기,positive_or_mixed,False,Draw {n} cards.,Draw 2 cards.,카드를 2장 뽑습니다.,2,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":2,""energy_gain"":1,""hp_loss"":null,""vars"":{""Energy"":1,""Cards"":2},""upgrade"":{""energy"":""+1""}}"
ADRENALINE,아드레날린,Adrenaline,silent,Rare,E0,keyword,,keyword,카드 키워드,contextual,False,Keyword: Exhaust,Keyword: Exhaust,키워드: 소멸,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":2,""energy_gain"":1,""hp_loss"":null,""vars"":{""Energy"":1,""Cards"":2},""upgrade"":{""energy"":""+1""}}"
AFTERIMAGE,잔상,Afterimage,silent,Rare,E1,body,1,block,방어도,positive_or_mixed,False,"Whenever you play a card, gain {n} Block.","Whenever you play a card, gain 1 Block.","카드를 사용할 때마다, 방어도를 1 얻습니다.",1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""AfterimagePower"":1,""Afterimage"":1},""upgrade"":{""add_innate"":1}}"
AFTERIMAGE,잔상,Afterimage,silent,Rare,E1,body,1,card_play,추가 사용/재사용,positive_or_mixed,False,"Whenever you play a card, gain {n} Block.","Whenever you play a card, gain 1 Block.","카드를 사용할 때마다, 방어도를 1 얻습니다.",1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""AfterimagePower"":1,""Afterimage"":1},""upgrade"":{""add_innate"":1}}"
AFTERIMAGE,잔상,Afterimage,silent,Rare,E1,body,1,trigger,지속/발동기,positive_or_mixed,False,"Whenever you play a card, gain {n} Block.","Whenever you play a card, gain 1 Block.","카드를 사용할 때마다, 방어도를 1 얻습니다.",1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""AfterimagePower"":1,""Afterimage"":1},""upgrade"":{""add_innate"":1}}"
AFTERLIFE,내세,Afterlife,necrobinder,Common,E1,body,1,osty,오스티/소환,positive_or_mixed,False,Summon {n}.,Summon 6.,소환 6.,6,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Summon"":6},""upgrade"":{""summon"":""+3""}}"
AFTERLIFE,내세,Afterlife,necrobinder,Common,E1,keyword,,keyword,카드 키워드,contextual,False,Keyword: Exhaust,Keyword: Exhaust,키워드: 소멸,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Summon"":6},""upgrade"":{""summon"":""+3""}}"
AGGRESSION,공격성,Aggression,ironclad,Rare,E1,body,1,discard,버리기,positive_or_mixed,False,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","내 턴 시작 시, 버린 카드 더미에서 무작위 공격 카드를 1장 손으로 가져오고 강화합니다.",,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""add_innate"":1}}"
AGGRESSION,공격성,Aggression,ironclad,Rare,E1,body,1,card_upgrade,강화,positive_or_mixed,False,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","내 턴 시작 시, 버린 카드 더미에서 무작위 공격 카드를 1장 손으로 가져오고 강화합니다.",,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""add_innate"":1}}"
AGGRESSION,공격성,Aggression,ironclad,Rare,E1,body,1,card_move,카드 이동/탐색,positive_or_mixed,False,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","내 턴 시작 시, 버린 카드 더미에서 무작위 공격 카드를 1장 손으로 가져오고 강화합니다.",,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""add_innate"":1}}"
AGGRESSION,공격성,Aggression,ironclad,Rare,E1,body,1,trigger,지속/발동기,positive_or_mixed,False,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","내 턴 시작 시, 버린 카드 더미에서 무작위 공격 카드를 1장 손으로 가져오고 강화합니다.",,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""add_innate"":1}}"
ALCHEMIZE,연금,Alchemize,colorless,Rare,E1,body,1,bespoke_rule,고유 규칙,contextual,False,Procure a random potion.,Procure a random potion.,무작위 포션을 1개 생성합니다.,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""cost"":0}}"
ALCHEMIZE,연금,Alchemize,colorless,Rare,E1,keyword,,keyword,카드 키워드,contextual,False,Keyword: Exhaust,Keyword: Exhaust,키워드: 소멸,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""cost"":0}}"
ALIGNMENT,정렬,Alignment,regent,Uncommon,E0+S3,body,1,energy,에너지,positive_or_mixed,False,Gain {n} Energy.,Gain 2 Energy.,2 Energy를 얻습니다.,2,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":2,""hp_loss"":null,""vars"":{""Energy"":2,""StarCost"":3},""upgrade"":{""energy"":""+1""}}"
ALL_FOR_ONE,하나를 위한 모두,All for One,defect,Rare,E2,body,1,damage,피해,positive_or_mixed,False,Deal {n} damage.,Deal 10 damage.,피해를 10 줍니다.,10,"{""damage"":10,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":10},""upgrade"":{""damage"":""+4""}}"
ALL_FOR_ONE,하나를 위한 모두,All for One,defect,Rare,E2,body,2,discard,버리기,positive_or_mixed,False,Put ALL {n} Energy cards from your Discard Pile into your Hand.,Put ALL 0 Energy cards from your Discard Pile into your Hand.,버린 카드 더미에서 모든 0 Energy 카드를 손으로 가져옵니다.,0,"{""damage"":10,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":10},""upgrade"":{""damage"":""+4""}}"
ALL_FOR_ONE,하나를 위한 모두,All for One,defect,Rare,E2,body,2,card_move,카드 이동/탐색,positive_or_mixed,False,Put ALL {n} Energy cards from your Discard Pile into your Hand.,Put ALL 0 Energy cards from your Discard Pile into your Hand.,버린 카드 더미에서 모든 0 Energy 카드를 손으로 가져옵니다.,0,"{""damage"":10,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":10},""upgrade"":{""damage"":""+4""}}"
ALL_FOR_ONE,하나를 위한 모두,All for One,defect,Rare,E2,body,2,energy,에너지,positive_or_mixed,False,Put ALL {n} Energy cards from your Discard Pile into your Hand.,Put ALL 0 Energy cards from your Discard Pile into your Hand.,버린 카드 더미에서 모든 0 Energy 카드를 손으로 가져옵니다.,0,"{""damage"":10,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":10},""upgrade"":{""damage"":""+4""}}"
ANGER,분노,Anger,ironclad,Common,E0,body,1,damage,피해,positive_or_mixed,False,Deal {n} damage.,Deal 6 damage.,피해를 6 줍니다.,6,"{""damage"":6,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":6},""upgrade"":{""damage"":""+2""}}"
ANGER,분노,Anger,ironclad,Common,E0,body,2,discard,버리기,positive_or_mixed,False,Add a copy of this card into your Discard Pile.,Add a copy of this card into your Discard Pile.,이 카드의 복사본을 1장 버린 카드 더미에 추가합니다.,,"{""damage"":6,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":6},""upgrade"":{""damage"":""+2""}}"
ANGER,분노,Anger,ironclad,Common,E0,body,2,card_create,카드 생성,positive_or_mixed,False,Add a copy of this card into your Discard Pile.,Add a copy of this card into your Discard Pile.,이 카드의 복사본을 1장 버린 카드 더미에 추가합니다.,,"{""damage"":6,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":6},""upgrade"":{""damage"":""+2""}}"
ANOINTED,임명,Anointed,colorless,Rare,E1,body,1,draw,카드 뽑기,positive_or_mixed,False,Put every Rare card from your Draw Pile into your Hand.,Put every Rare card from your Draw Pile into your Hand.,뽑을 카드 더미에 있는 모든 희귀 카드를 손으로 가져옵니다.,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""add_retain"":1}}"
ANOINTED,임명,Anointed,colorless,Rare,E1,body,1,card_move,카드 이동/탐색,positive_or_mixed,False,Put every Rare card from your Draw Pile into your Hand.,Put every Rare card from your Draw Pile into your Hand.,뽑을 카드 더미에 있는 모든 희귀 카드를 손으로 가져옵니다.,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""add_retain"":1}}"
ANOINTED,임명,Anointed,colorless,Rare,E1,keyword,,keyword,카드 키워드,contextual,False,Keyword: Exhaust,Keyword: Exhaust,키워드: 소멸,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""add_retain"":1}}"
ANTICIPATE,예측,Anticipate,silent,Common,E0,body,1,buff,강화 효과,positive_or_mixed,False,Gain {n} Dexterity this turn.,Gain 2 Dexterity this turn.,이번 턴 동안 민첩을 2 얻습니다.,2,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""DexterityPower"":2,""Dexterity"":2},""upgrade"":{""dexterity"":""+1""}}"
APOTHEOSIS,신성,Apotheosis,event,Ancient,E2,body,1,card_upgrade,강화,positive_or_mixed,False,Upgrade ALL your cards.,Upgrade ALL your cards.,모든 카드를 강화합니다.,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""cost"":1}}"
APOTHEOSIS,신성,Apotheosis,event,Ancient,E2,keyword,,keyword,카드 키워드,contextual,False,Keyword: Exhaust,Keyword: Exhaust,키워드: 소멸,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""cost"":1}}"
APOTHEOSIS,신성,Apotheosis,event,Ancient,E2,keyword,,keyword,카드 키워드,contextual,False,Keyword: Innate,Keyword: Innate,키워드: 선천성,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":{""cost"":1}}"
APPARITION,영체화,Apparition,event,Ancient,E1,body,1,buff,강화 효과,positive_or_mixed,False,Gain {n} Intangible.,Gain 1 Intangible.,불가침을 1 얻습니다.,1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""IntangiblePower"":1,""Intangible"":1},""upgrade"":{""remove_ethereal"":1}}"
APPARITION,영체화,Apparition,event,Ancient,E1,keyword,,keyword,카드 키워드,contextual,False,Keyword: Exhaust,Keyword: Exhaust,키워드: 소멸,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""IntangiblePower"":1,""Intangible"":1},""upgrade"":{""remove_ethereal"":1}}"
APPARITION,영체화,Apparition,event,Ancient,E1,keyword,,keyword,카드 키워드,contextual,False,Keyword: Ethereal,Keyword: Ethereal,키워드: 휘발성,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""IntangiblePower"":1,""Intangible"":1},""upgrade"":{""remove_ethereal"":1}}"
ARMAMENTS,전투장비,Armaments,ironclad,Common,E1,body,1,block,방어도,positive_or_mixed,False,Gain {n} Block.,Gain 5 Block.,방어도를 5 얻습니다.,5,"{""damage"":null,""block"":5,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Block"":5},""upgrade"":{""description_changed"":1}}"
ARMAMENTS,전투장비,Armaments,ironclad,Common,E1,body,2,card_upgrade,강화,positive_or_mixed,False,Upgrade a card in your Hand.,Upgrade a card in your Hand.,손에 있는 카드를 1장 강화합니다.,,"{""damage"":null,""block"":5,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Block"":5},""upgrade"":{""description_changed"":1}}"
ARSENAL,무기고,Arsenal,regent,Rare,E1,body,1,card_create,카드 생성,positive_or_mixed,False,"Whenever you create a card, gain {n} Strength.","Whenever you create a card, gain 1 Strength.","카드를 생성할 때마다, 힘을 1 얻습니다.",1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""ArsenalPower"":1,""Arsenal"":1},""upgrade"":{""add_innate"":1}}"
ARSENAL,무기고,Arsenal,regent,Rare,E1,body,1,buff,강화 효과,positive_or_mixed,False,"Whenever you create a card, gain {n} Strength.","Whenever you create a card, gain 1 Strength.","카드를 생성할 때마다, 힘을 1 얻습니다.",1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""ArsenalPower"":1,""Arsenal"":1},""upgrade"":{""add_innate"":1}}"
ARSENAL,무기고,Arsenal,regent,Rare,E1,body,1,trigger,지속/발동기,positive_or_mixed,False,"Whenever you create a card, gain {n} Strength.","Whenever you create a card, gain 1 Strength.","카드를 생성할 때마다, 힘을 1 얻습니다.",1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""ArsenalPower"":1,""Arsenal"":1},""upgrade"":{""add_innate"":1}}"
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,curse,Curse,E-1,body,1,empty,효과 없음,positive_or_mixed,False,(empty),,,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":null}"
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,curse,Curse,E-1,keyword,,keyword,카드 키워드,contextual,False,Keyword: Ethereal,Keyword: Ethereal,키워드: 휘발성,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":null}"
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,curse,Curse,E-1,keyword,,keyword,카드 키워드,contextual,False,Keyword: Unplayable,Keyword: Unplayable,키워드: 사용불가,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":null}"
ASCENDERS_BANE,등반자의 골칫거리,Ascender's Bane,curse,Curse,E-1,keyword,,keyword,카드 키워드,contextual,False,Keyword: Eternal,Keyword: Eternal,키워드: 영구,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":null,""upgrade"":null}"
ASHEN_STRIKE,잿빛 타격,Ashen Strike,ironclad,Uncommon,E1,body,1,damage,피해,positive_or_mixed,False,Deal {n} damage.,Deal 6 damage.,피해를 6 줍니다.,6,"{""damage"":6,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""CalculationBase"":6,""ExtraDamage"":3,""CalculatedDamage"":6},""upgrade"":{""extradamage"":""+1""}}"
ASHEN_STRIKE,잿빛 타격,Ashen Strike,ironclad,Uncommon,E1,body,2,damage,피해,positive_or_mixed,True,Deals {n} additional damage for each card in your Exhaust Pile.,Deals 3 additional damage for each card in your Exhaust Pile.,소멸된 카드 더미에 있는 카드 1장당 피해량이 3 증가합니다.,3,"{""damage"":6,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""CalculationBase"":6,""ExtraDamage"":3,""CalculatedDamage"":6},""upgrade"":{""extradamage"":""+1""}}"
ASHEN_STRIKE,잿빛 타격,Ashen Strike,ironclad,Uncommon,E1,body,2,exhaust,소멸시키기,positive_or_mixed,True,Deals {n} additional damage for each card in your Exhaust Pile.,Deals 3 additional damage for each card in your Exhaust Pile.,소멸된 카드 더미에 있는 카드 1장당 피해량이 3 증가합니다.,3,"{""damage"":6,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""CalculationBase"":6,""ExtraDamage"":3,""CalculatedDamage"":6},""upgrade"":{""extradamage"":""+1""}}"
ASHEN_STRIKE,잿빛 타격,Ashen Strike,ironclad,Uncommon,E1,body,2,scaling,가변/스케일링,positive_or_mixed,True,Deals {n} additional damage for each card in your Exhaust Pile.,Deals 3 additional damage for each card in your Exhaust Pile.,소멸된 카드 더미에 있는 카드 1장당 피해량이 3 증가합니다.,3,"{""damage"":6,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""CalculationBase"":6,""ExtraDamage"":3,""CalculatedDamage"":6},""upgrade"":{""extradamage"":""+1""}}"
ASSASSINATE,암살,Assassinate,silent,Rare,E0,body,1,damage,피해,positive_or_mixed,False,Deal {n} damage.,Deal 10 damage.,피해를 10 줍니다.,10,"{""damage"":10,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":10,""VulnerablePower"":1,""Vulnerable"":1},""upgrade"":{""damage"":""+3"",""vulnerable"":""+1""}}"
ASSASSINATE,암살,Assassinate,silent,Rare,E0,body,2,debuff,약화 효과,positive_or_mixed,False,Apply {n} Vulnerable.,Apply 1 Vulnerable.,취약을 1 부여합니다.,1,"{""damage"":10,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":10,""VulnerablePower"":1,""Vulnerable"":1},""upgrade"":{""damage"":""+3"",""vulnerable"":""+1""}}"
ASSASSINATE,암살,Assassinate,silent,Rare,E0,keyword,,keyword,카드 키워드,contextual,False,Keyword: Exhaust,Keyword: Exhaust,키워드: 소멸,,"{""damage"":10,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":10,""VulnerablePower"":1,""Vulnerable"":1},""upgrade"":{""damage"":""+3"",""vulnerable"":""+1""}}"
ASSASSINATE,암살,Assassinate,silent,Rare,E0,keyword,,keyword,카드 키워드,contextual,False,Keyword: Innate,Keyword: Innate,키워드: 선천성,,"{""damage"":10,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":10,""VulnerablePower"":1,""Vulnerable"":1},""upgrade"":{""damage"":""+3"",""vulnerable"":""+1""}}"
ASTRAL_PULSE,별의 파동,Astral Pulse,regent,Common,E0+S3,body,1,damage,피해,positive_or_mixed,False,Deal {n} damage to ALL enemies twice.,Deal 6 damage to ALL enemies twice.,모든 적에게 피해를 6만큼 2번 줍니다.,6,"{""damage"":6,""block"":null,""hit_count"":2,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":6,""StarCost"":3},""upgrade"":{""damage"":""+2""}}"
AUTOMATION,자동화,Automation,colorless,Uncommon,E1,body,1,draw,카드 뽑기,positive_or_mixed,False,"Every {n} cards you draw, gain {n} Energy.","Every 10 cards you draw, gain 1 Energy.","카드를 10장 뽑을 때마다, 1 Energy를 얻습니다.",10|1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":1,""hp_loss"":null,""vars"":{""Energy"":1},""upgrade"":{""cost"":0}}"
AUTOMATION,자동화,Automation,colorless,Uncommon,E1,body,1,energy,에너지,positive_or_mixed,False,"Every {n} cards you draw, gain {n} Energy.","Every 10 cards you draw, gain 1 Energy.","카드를 10장 뽑을 때마다, 1 Energy를 얻습니다.",10|1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":1,""hp_loss"":null,""vars"":{""Energy"":1},""upgrade"":{""cost"":0}}"
AUTOMATION,자동화,Automation,colorless,Uncommon,E1,body,1,trigger,지속/발동기,positive_or_mixed,False,"Every {n} cards you draw, gain {n} Energy.","Every 10 cards you draw, gain 1 Energy.","카드를 10장 뽑을 때마다, 1 Energy를 얻습니다.",10|1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":1,""hp_loss"":null,""vars"":{""Energy"":1},""upgrade"":{""cost"":0}}"
BACKFLIP,공중제비,Backflip,silent,Common,E1,body,1,block,방어도,positive_or_mixed,False,Gain {n} Block.,Gain 5 Block.,방어도를 5 얻습니다.,5,"{""damage"":null,""block"":5,""hit_count"":null,""cards_draw"":2,""energy_gain"":null,""hp_loss"":null,""vars"":{""Block"":5,""Cards"":2},""upgrade"":{""block"":""+3""}}"
